"MSFT","IBM","SBUX","AAPL","GSPC","Date"
29.68281,172.945256,34.180284,67.731751,1661.319946,"2013-08-15"
29.692145,172.52637,34.165789,68.333016,1655.829956,"2013-08-16"
29.309322,171.49311,33.962854,69.06895,1646.060059,"2013-08-19"
29.524078,171.800297,34.141632,68.161615,1652.349976,"2013-08-20"
29.514741,172.079559,34.165789,68.337099,1642.800049,"2013-08-21"
30.243037,172.386746,34.740777,68.418713,1656.959961,"2013-08-22"
32.446606,172.600841,34.774599,68.154815,1663.5,"2013-08-23"
31.886378,171.96786,34.731111,68.420078,1656.780029,"2013-08-26"
31.055369,170.106132,33.900041,66.463932,1630.47998,"2013-08-27"
30.831279,169.566229,34.286585,66.778168,1634.959961,"2013-08-28"
31.326147,170.01304,34.392885,66.886996,1638.170044,"2013-08-29"
31.186092,169.668624,34.073983,66.277572,1632.969971,"2013-08-30"
29.766842,171.241787,34.595821,66.462573,1639.77002,"2013-09-03"
29.131918,170.469168,34.856739,67.837862,1653.079956,"2013-09-04"
29.159928,171.418639,34.813255,67.372625,1655.079956,"2013-09-05"
29.085231,170.376076,34.581326,67.773924,1655.170044,"2013-09-06"
29.561426,172.191258,35.001695,68.855377,1671.709961,"2013-09-09"
30.243037,173.699268,35.861759,67.286929,1683.98999,"2013-09-10"
30.56984,177.515803,36.42708,63.623581,1689.130005,"2013-09-11"
30.523151,177.543728,36.562371,64.301026,1683.420044,"2013-09-12"
30.840615,178.884174,36.514053,63.241331,1687.98999,"2013-09-13"
30.625861,179.796417,36.354602,61.230778,1697.599976,"2013-09-16"
30.747245,178.874871,36.741149,61.938147,1704.76001,"2013-09-17"
31.111393,180.978619,37.364454,63.211407,1725.52002,"2013-09-18"
31.410182,180.01983,36.890935,64.24797,1722.339966,"2013-09-19"
30.616525,176.882822,36.779805,63.582774,1709.910034,"2013-09-20"
30.56984,177.785762,36.412586,66.742802,1701.839966,"2013-09-23"
30.299062,176.836276,36.987573,66.533311,1697.420044,"2013-09-24"
30.355082,176.370844,36.886102,65.503548,1692.77002,"2013-09-25"
30.59785,177.068992,37.291976,66.141537,1698.670044,"2013-09-26"
31.064708,173.997137,37.364454,65.669508,1691.75,"2013-09-27"
31.074044,172.377428,37.190509,64.853311,1681.550049,"2013-09-30"
31.354161,173.494477,37.282314,66.378235,1695,"2013-10-01"
31.671621,172.172651,37.296809,66.595884,1693.869995,"2013-10-02"
31.6156,171.148695,37.142191,65.759287,1678.660034,"2013-10-03"
31.634275,171.372108,37.398277,65.707598,1690.5,"2013-10-04"
31.092718,169.426591,37.137358,66.349669,1676.119995,"2013-10-07"
30.82194,166.364054,36.494726,65.423286,1655.449951,"2013-10-08"
30.877964,168.784306,36.364268,66.191868,1656.400024,"2013-10-09"
31.522226,171.995785,37.262987,66.606767,1692.560059,"2013-10-10"
31.867704,173.289686,37.601213,67.037989,1703.199951,"2013-10-11"
32.166492,174.043683,37.736503,67.477371,1710.140015,"2013-10-14"
32.203842,171.893389,37.06488,67.836496,1698.060059,"2013-10-15"
32.343897,173.820271,37.707513,68.167056,1721.540039,"2013-10-16"
32.605336,162.742992,38.045739,68.628203,1733.150024,"2013-10-17"
32.642685,161.765582,38.321152,69.225385,1744.5,"2013-10-18"
32.670699,160.909189,38.39363,70.92171,1744.660034,"2013-10-21"
32.287876,162.873313,39.089414,70.719019,1754.670044,"2013-10-22"
31.522226,163.618007,38.67871,71.411422,1746.380005,"2013-10-23"
31.484881,165.50766,38.195528,72.356847,1752.069946,"2013-10-24"
33.361647,164.623342,38.635221,71.547458,1759.77002,"2013-10-25"
33.212252,165.088774,38.031244,72.080701,1762.109985,"2013-10-28"
33.165567,169.528986,38.470941,70.28508,1771.949951,"2013-10-29"
33.184242,167.695183,39.055591,71.403264,1763.310059,"2013-10-30"
33.062858,166.820182,39.161892,71.103986,1756.540039,"2013-10-31"
33.174903,166.838789,38.833328,70.740785,1761.640015,"2013-11-01"
33.557726,167.806896,38.833328,71.65492,1767.930054,"2013-11-04"
34.211327,165.554206,39.61608,71.478078,1762.969971,"2013-11-05"
35.64925,167.697329,39.200543,71.275573,1770.48999,"2013-11-06"
35.014323,168.455375,38.20519,70.122128,1747.150024,"2013-11-07"
35.275762,168.446022,39.234366,71.226314,1770.609985,"2013-11-08"
35.098358,171.150666,39.132898,71.019707,1771.890015,"2013-11-11"
34.883604,171.328482,39.07473,71.151056,1767.689941,"2013-11-12"
35.630575,171.777693,39.486756,71.235894,1782,"2013-11-13"
35.499856,170.523639,39.33164,72.266196,1790.619995,"2013-11-14"
35.331786,171.440781,39.355879,71.832456,1798.180054,"2013-11-15"
34.734209,172.638685,39.040798,70.962235,1791.530029,"2013-11-18"
34.564867,173.368657,38.740259,71.088118,1787.869995,"2013-11-19"
34.884738,173.312508,38.628772,70.465557,1781.369995,"2013-11-20"
35.185793,172.320495,39.520688,71.305671,1795.849976,"2013-11-21"
35.345726,169.672,39.433435,71.122324,1804.76001,"2013-11-22"
35.411582,167.463363,39.123203,71.661421,1802.47998,"2013-11-25"
35.13875,165.937901,39.510995,72.98316,1802.75,"2013-11-26"
35.373949,167.491437,39.564316,74.701702,1807.22998,"2013-11-27"
35.872574,168.155892,39.486756,76.085013,1805.810059,"2013-11-29"
36.173628,166.096996,39.297709,75.42278,1800.900024,"2013-12-02"
36.041917,164.786793,39.045647,77.487484,1795.150024,"2013-12-03"
36.634617,164.468603,38.53667,77.306876,1792.810059,"2013-12-04"
35.750269,164.786793,38.643313,77.703671,1785.030029,"2013-12-05"
36.088956,166.274812,38.749956,76.625477,1805.089966,"2013-12-06"
36.418234,166.078289,38.648162,77.502537,1808.369995,"2013-12-09"
35.853757,165.760085,37.509025,77.382127,1802.619995,"2013-12-10"
35.383359,163.963229,37.033983,76.808824,1782.219971,"2013-12-11"
35.016449,162.250598,37.072763,76.696628,1775.5,"2013-12-12"
34.517824,161.717163,37.009745,75.86062,1775.319946,"2013-12-13"
34.705984,166.443275,37.063066,76.280681,1786.540039,"2013-12-16"
34.357891,164.48731,36.883712,75.937244,1781,"2013-12-17"
34.41434,167.23875,37.654447,75.359835,1810.650024,"2013-12-18"
34.103875,168.661266,37.397537,74.496461,1809.599976,"2013-12-19"
34.621312,168.474097,37.644754,75.120389,1818.319946,"2013-12-20"
34.451969,170.542346,37.964679,78.003322,1827.98999,"2013-12-23"
34.884738,171.468856,38.085864,77.672198,1833.319946,"2013-12-24"
35.223422,173.462249,38.236132,77.156368,1842.02002,"2013-12-26"
35.082304,173.209562,38.085864,76.635056,1841.400024,"2013-12-27"
35.082304,174.454262,38.076171,75.872933,1841.069946,"2013-12-30"
35.195199,175.539867,37.998611,76.762306,1848.359985,"2013-12-31"
